	(1)	(2)	(3)	(4)
VARIABLES	male	white	aged	acc
				
dui	0.0307***	0.00271	-7.787***	-0.219***
	(0.00729)	(0.00617)	(0.204)	(0.00627)
Constant	0.773***	0.835***	38.57***	0.201***
	(0.00655)	(0.00555)	(0.184)	(0.00564)
				
Observations	214,558	214,558	214,558	214,558
Mean	0.789	0.789	0.789	0.789
Controls	NO	NO	NO	NO
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
